positiveRatio,price,storeName,title
100%,¥8769.00,君问手机旗舰店,Apple 苹果 iPhone 11Pro Max 手机【国行现货 顺丰速发】 暗夜绿色 64G
96%,¥5839.00,冰之凯盛手机旗舰店,Apple 苹果 iPhone 11 手机 绿色 全网通 128G绿色
99%,¥8699.00,炜东电商旗舰店,Apple 苹果 iPhone 11 Pro 手机 暗夜绿色 全网通64G暗夜绿色
95%,¥5698.00,茄子手机旗舰店,Apple iPhone XS Max 苹果Xsmax 金色 全网通 64GB金色
92%,¥13199.00,聚捷联盛手机旗舰店,Apple 苹果 iPhone 11 Pro Max 双卡双待手机 深空灰色 256G深空灰色
99%,¥11328.00,OKSJ手机旗舰店,苹果新品 Apple iPhone 11 Pro 手机 全网通 暗夜绿色 512GB暗夜绿色 512GB
94%,¥13499.00,佳沪手机旗舰店,Apple 苹果 iPhone 11Pro Max 手机 暗夜绿色 256G 全网通
97%,¥4969.00,鹏瑶旗舰店,Apple 苹果 iPhone xr 手机 双卡双待 白色 全网通 128G
100%,¥7099.00,臻云商手机专营店,Apple iphone x 苹果X  (A1865) 全网通4G手机 深空灰 256GB
100%,¥9349.00,君问手机旗舰店,Apple苹果 iPhone 11 Pro手机【国行现货 顺丰速发】 深灰色 256G深灰色
93%,¥6599.00,疆界互联旗舰店,Apple 苹果 iPhone 11 手机 黑色 全网通128G黑色
92%,¥11699.00,聚捷联盛手机旗舰店,Apple 苹果 iPhone 11 Pro 双卡双待手机 深空灰色 512GB深空灰色
97%,¥5399.00,京联通达旗舰店,苹果Apple iPhone11 手机 黑色 全网通 64GB黑色
97%,¥3599.00,疆界互联旗舰店,Apple （苹果）iPhone 7 Plus (A1661)手机 金色 全网通（128G ROM）标配金色
95%,¥5738.00,茄子手机旗舰店,【至高可选】Apple 苹果 iPhone 11 全网通4G手机 双卡双待 黑色 128GB黑色
99%,¥5499.00,鹏瑶旗舰店,Apple 苹果 iPhoneXS 手机 金色 全网通  64G 金色 全网通  64G
99%,¥12128.00,新松联手机旗舰店,【国行原封正品现货当天发】苹果 iPhone 11 Pro MAX手机 金色 512G金色
99%,¥5258.00,同达丰手机旗舰店,Apple 苹果 iphone XS 手机 金色 全网通 64G金色
93%,¥9578.00,新松联手机旗舰店,【国行原封正品现货当天发】苹果 iPhone 11 Pro 手机 暗夜绿色 256GB
95%,¥5169.00,臻火旗舰店,现货速发 Apple 苹果 iPhone XR 手机 黑色 全网通 128GB黑色
98%,¥4899.00,疆界互联旗舰店,Apple 苹果iphone xr(A2108) 手机 黄色 全网通128GB
96%,¥5849.00,众宇通手机专营店,Apple苹果iPhone 11手机 绿色 128GB绿色
96%,¥6629.00,冰之凯盛手机旗舰店,Apple 苹果 iPhone X手机【0首付】 深空灰色 全网通256G深空灰色
97%,¥3475.00,鹏瑶旗舰店,Apple 苹果 iPhone7 Plus 手机 玫瑰金 全网通128G
99%,¥12288.00,OKSJ手机旗舰店,苹果Apple iPhone 11 Pro Max 手机全网通智能手机 金色 512GB金色 512GB
90%,¥2799.00,冰之凯盛手机旗舰店,Apple/苹果 iPhone 7 全网通全新手机【 0首付】 现货速发 黑色 全网通 128G
98%,¥9928.00,佳沪手机旗舰店,【增值全保服务】Apple 苹果 iPhone 11 Pro 移动联通电信4G手机 银色 256GB【全保修两年】
93%,¥8139.00,同达丰手机旗舰店,Apple 苹果 iphone 11 Pro 手机 暗夜绿 全网通 64GB暗夜绿
99%,¥10149.00,疆界互联旗舰店,Apple苹果iphone11pro max新品手机 暗夜绿 256GB暗夜绿
92%,¥5899.00,顺电手机旗舰店,Apple iPhone 11 (A2223) 双卡双待 移动联通电信4G苹果手机 绿色 128GB绿色
97%,¥10598.00,中国移动手机官方旗舰店,【现货速发-国行正品】苹果 iPhone 11 Pro Max 全网通手机 银色 256GB银色
97%,¥9259.00,臻火旗舰店,现货速发 苹果 手机 Apple iPhone 11 Pro Max 深空灰色 64GB深空灰色
97%,¥9489.00,疆界互联旗舰店,Apple苹果iphone11pro新品手机 暗夜绿色 256GB暗夜绿色
96%,¥3688.00,世纪金联手机专营店,Apple 苹果 iPhone7 Plus 全网通4G手机 玫瑰金色 128GB玫瑰金色
100%,¥6999.00,优爱特手机专营店,Apple 苹果 iphone 11 手机 黑色 全网通 256G
97%,¥5798.00,千瑞达手机旗舰店,Apple苹果 iPhone 11手机【至高】 黑色 全网通 128G黑色
93%,¥5188.00,头号卖家旗舰店,【自营发货】Apple iPhone 11 苹果11 全网通手机【现货速发-国行正品】 黄色 64GB黄色
93%,¥6199.00,普华手机专营店,【现货国行，可分期】Apple 苹果 iPhone 11【0首付】 黑色 限时0首付128G黑色
97%,¥5099.00,银河信业手机专营店,Apple 苹果 iPhoneXR (A2108) 全网通移动联通电信4G手机双卡双待 黑色 128G
96%,¥10799.00,京联通达旗舰店,苹果Apple iPhone 11 Pro Max 手机 暗夜绿色 全网通 256GB暗夜绿色
99%,¥8388.00,银河信业手机专营店,Apple 苹果 iPhoneXSMax 苹果智能手机 全网通 金色 512GB
91%,¥4399.00,头号卖家旗舰店,Apple 苹果 iPhone8 Plus 手机全网通4G iPhone8plus 深空灰 64G 全网通
95%,¥4999.00,冰之凯盛手机旗舰店,Apple 苹果/iPhone8Plus手机 金色 全网通 128G金色
100%,¥5099.00,头号卖家旗舰店,【自营发货】Apple 苹果 iPhone XR 手机全网通4G 黑色 全网通 128GB
100%,¥12999.00,乐服手机旗舰店,Apple iPhone 11 Pro Max (A2220) 移动联通电信4G手机 双卡双待 暗夜绿色 512GB
85%,¥5899.00,众盛手机专营店,Apple 苹果 iPhone 11 (A2223) 移动联通电信4G手机 双卡双待 绿色 全网通 128GB绿色
96%,¥6959.00,鹏瑶旗舰店,Apple 苹果 iPhone xs max 手机 双卡双待 银色 全网通 256G
94%,¥9999.00,冰之凯盛手机旗舰店,Apple 苹果 iPhone 11Pro 手机 银色 全网通 256G银色
100%,¥5719.00,君问手机旗舰店,Apple 苹果 iPhone Xs Max全面屏手机【国行正品 现货顺丰速发】 金色 64GB金色
100%,¥9609.00,伟德手机专营店,Apple 苹果 iPhone 11Pro 手机 全网通 双卡双待 银色 256GB银色
96%,¥10498.00,头号卖家旗舰店,【国行正品】Apple iPhone 11Pro Max苹果11ProMax手机 深空灰 全网通256GB深空灰
99%,¥11299.00,冰之凯盛手机旗舰店,【现货速发】Apple 苹果 iPhone 11 Pro Max 手机 暗夜绿色 活动-全网通256G
100%,¥6928.00,臻火旗舰店,现货速发 Apple iPhone 苹果XS Max 银色 256GB
100%,¥5399.00,头号卖家旗舰店,【自营发货】Apple 苹果 iphone XS 全面屏手机全网通4G 金色 全网通64GB金色
100%,¥10089.00,平田数码专营店,Apple iPhone 11 Pro Max 移动联通电信4G手机 双卡双待 暗夜绿色 256G
100%,¥5949.00,易橙手机专营店,Apple 苹果 iphone 11 手机 紫色 全网通 128GB紫色
100%,¥6088.00,头号卖家旗舰店,【自营发货】Apple 苹果 iPhone Xs Max xsmax全面屏手机全网通4G 深空灰 全网通64G深空灰
66%,¥10899.00,普华手机专营店,Apple 苹果 iPhone 11Pro Max【0首付+当天发货】手机 金色 256G全网通金色
96%,¥4299.00,岗隆手机专营店,Apple 苹果 iPhone8 Plus 手机 金色 全网通 64G
95%,¥5045.00,中益德诚手机专营店,苹果XR iPhone XR 【128G限时优惠，赠无线充好礼】手机 白色 全网通 128GB
50%,¥6799.00,天翼电信旗舰店,【国行现货】Apple苹果iphone11新品手机 移动联通电信4G手机 双卡双待 黑色 256G 全网通黑色
85%,¥3899.00,臻云商手机专营店,Apple iPhone 8（A1863）全新全网通移动联通电信4G手机 金色 全网通 64GB
100%,¥4469.00,君问手机旗舰店,Apple 苹果 iPhone XR 手机【国行现货 顺丰速发】 白色 64GB
100%,¥10499.00,普华手机专营店,Apple 苹果 iPhone 11Pro 【0首付+当天发货】手机 深空灰色 256G全网通版（套餐）
93%,¥4699.00,冰之凯盛手机旗舰店,苹果（Apple） Apple iPhone 8手机【0首付】 金色 全网通256G
97%,¥5799.00,岗隆手机专营店,Apple 苹果 iPhone XR 手机 双卡双待 红色 全网通 256GB红色
100%,¥2999.00,岗隆手机专营店,Apple 苹果 iPhone7 手机 玫瑰金 全网通 128GB玫瑰金
100%,¥5199.00,臻云商手机专营店,Apple iPhone 8 Plus（A1864）移动联通电信4G手机 深空灰 全网通 128GB
97%,¥3759.00,岗隆手机专营店,Apple 苹果 iPhone8 手机 金色 官方标配 64G
97%,¥5599.00,岗隆手机专营店,Apple 苹果 iPhone XS 手机 深空灰色 全网通 64GB
100%,¥10399.00,疆界互联旗舰店,【现货】新品 【特惠Airpods套装】苹果 iPhone 11 Pro 全网通手机 深空灰 256GB（+Airpods套装版）
98%,¥7099.00,岗隆手机专营店,Apple 苹果 iPhoneX 全面屏 手机 银色 全网通 256G
100%,¥3669.00,岗隆手机专营店,Apple 苹果 iPhone 7 Plus 手机 玫瑰金色 全网通 128GB
100%,¥5999.00,Apple浩讯专卖店,【国行正品】Apple 苹果 iphone 11 手机 黑色 全网通128GB
100%,¥10999.00,咪咕旗舰店,苹果 Apple iPhone 11 Pro Max 国行 全网通4G手机 暗夜绿色 256G
98%,¥79.90,水果自营专区,烟台红富士苹果 5kg 一级铂金大果 单果230g以上 新鲜水果烟台一级大果10斤（230-320g）
100%,¥4999.00,电竞官方旗舰店,Apple iPhone XR (A2108)  移动联通电信4G手机 双卡双待 珊瑚色 128GB
90%,¥10899.00,电竞官方旗舰店,Apple iPhone 11 Pro Max (A2220)   移动联通电信 暗夜绿色 256GB
100%,¥5099.00,安铎数码专营店,Apple iPhone XR (A2108) 移动联通电信4G手机 双卡双待 黑色 全网通 128GB
97%,¥23.80,鲜遇生鲜专营店,【第二件9.8元，两件共发带箱10斤】红富士苹果5斤现货新鲜孕妇水果整箱鲜果山东生鲜脆甜多汁大果 果径75#-80# 净重5斤
92%,¥18.80,鲜次方旗舰店,正常发货【第2件9.8，2件共发带箱10斤】红富士苹果5斤鲜果新鲜水果陕西洛川一整箱丑苹果萍果甜 5斤装（净重5斤）
100%,¥3699.00,莫拉克手机专营店,Apple iPhone 7 Plus 苹果7 plus全网通4G单卡智能手机 黑色 128G
100%,¥10299.00,乐天惠通手机旗舰店,Apple iPhone11Pro (A2217) 移动联通电信全网通4G手机双卡双待新品苹果手机 暗夜绿色 256G
95%,¥29.90,云鲜风旗舰店,云鲜风 陕西洛川红富士苹果5斤 果径75-80mm 新鲜水果
95%,¥23.80,鲜遇生鲜专营店,【第二件9.8元，2件共发带箱10斤】山东红富士苹果5斤脆甜大果 令时新鲜孕妇水果鲜果生鲜现货 75#-80# 净重5斤
98%,¥145.00,Apple产品自营旗舰店,Apple Lightning/闪电转 USB 连接线 (1 米) iPhone iPad 数据线 充电线闪电转USB连接线（1米）
96%,¥218.00,宝达莱数码专营店,宝达莱 苹果6/6s屏幕总成手机维修液晶玻璃内触摸外 屏适用iPhone6/6s/plus 6Splus白色(带配件)6Splus白色(带配件)
98%,¥26.80,DIZA官方旗舰店,【买3免1】DIZA苹果数据线2.4A快充线iPhone7/8plus/xs/ipad手机充电器 【买三免一】-2.4A牛仔蓝-【2年换新】【买三免一】-2.4A牛仔蓝-【2年换新】
99%,¥67.00,Apple产品自营旗舰店,Apple Lightning/闪电 转 3.5毫米耳机插孔转换器/转换头 iPhone iPad 转接头Lightning/闪电转出
96%,¥973.00,Apple无限专卖店,Apple 苹果2019款Airpods二代原装无线蓝牙耳机 2代新款H1芯片iPhone手机 2代H1芯片有线充电仓
98%,¥27.70,凯利亚自营旗舰店,【2条装】凯利亚 苹果数据线11/Pro/XS/8/7手机充电器线电源线 1.2米黑适用于IPhoneXS/Max/XR/6s/8Plus/ipad苹果（2条装）1.2米 骑士黑
98%,¥223.00,Apple产品自营旗舰店,Apple 采用Lightning/闪电接头的 EarPods 耳机 iPhone iPad 耳机 手机耳机
96%,¥22.00,倍思（Baseus）自营旗舰店,倍思 苹果耳机转接头 音频转换器线 iPhoneXS/max/XR/X/8/7Plus充电通话听歌游戏Lightning转双Lightning 黑【五合一】苹果耳机转接头-黑色
97%,¥329.00,Apple产品自营旗舰店,Apple iPhone 11 原装硅胶手机壳 保护壳 - 透明透明
97%,¥29.90,文果旗舰店,文果 烟台红富士奶油金帅印度青维纳斯花牛苹果5斤装 奶油富士中大果G奶油富士中大果G
99%,¥968.00,疆界数码旗舰店,【七仓就近发】Apple 苹果新款AirPods2蓝牙通用耳机 支持ipad/iphone 爆款 AirPods2【有线充电】
97%,¥145.00,坤蓬数码专营店,Apple苹果原装数据线苹果手机iphone5/6s/7/8/x/ipad/11 充电线正品充电器 Lightning数据线1米 白色（不含充头）
97%,¥29.90,壹农壹果旗舰店,【第2件9.9元】壹农壹果 陕西洛川苹果 5斤 新鲜水果 果径70-80
97%,¥9.90,YOMO自营旗舰店,YOMO iphone苹果X/Xs钢化膜 苹果11Pro钢化膜 防刮防爆高清玻璃贴膜 非全屏覆盖-0.3mm
98%,¥29.90,网易智造家电自营旗舰店,网易严选 网易智造 iPhone XR苹果手机壳 iPhone XR保护套 空气感超薄0.4mm手机套 全包软壳男女 黑清透黑
98%,¥968.00,利特范旗舰店,Apple AirPods2代 苹果iPhone11/Pro/Max手机无线蓝牙耳机 【爆款】H1芯片 有线充电盒版【爆款】H1芯片 有线充电盒版
97%,¥19.90,朗客自营旗舰店,【2片装】朗客 苹果XS/X/11pro钢化膜 iphone11proXS/X钢化膜手机贴膜软边全屏覆盖高清防爆无白边【免神器】全屏覆盖【软曲不碎边】真机开模
98%,¥1029.00,Apple智联万物专营店,Apple airpods2苹果无线蓝牙耳机二代入耳式耳机iPhone11ProMax手机通用 苹果AirPods2【配有线充电盒】苹果AirPods2【配有线充电盒】
98%,¥243.00,Apple产品自营旗舰店,Apple 18W USB-C电源适配器 iPhone iPad 充电器 快速充电白色
97%,¥399.00,Apple产品自营旗舰店,Apple iPhone 11 Pro Max 原装皮革手机壳 保护壳 - 松林绿色松林绿色
99%,¥65.00,屹林宏业数码专营店,Apple苹果原装耳机转接头Lightning闪电转3.5毫米转换器iPhone11ProMax通用 苹果 Lightning转3.5MM原装转换头
99%,¥73.80,亿色东方丝路专卖店,亿色苹果快充套装PD充电器18W充电头数据线插头适用iPhone11Pro/XSMax华为小米手机 【18W快充头】送PD快充线
97%,¥29.00,鑫楚天数码专营店,华为原装充电器插头iPhoneX/Xs Max/XR/8/6s/7plus/ipad苹果手机平板通用 【单头】5V1A充电器
98%,¥99.00,潮流数码配件专营店,华为手机直播支架 原装自拍杆三角架自拍神器拍照苹果iPhone/vivo/oppo/小米荣耀通用 【升级版】蓝牙自拍杆-黑色
94%,¥39.00,梵帝西诺（VDSN）自营旗舰店,梵帝西诺 苹果7/8Plus手机壳 送钢化膜 德国进口拜耳TPU iPhone8/7Plus新款双料抗黄变苹果防摔壳 高透【双料抗摔抗黄】气囊设计★高透
99%,¥49.00,ZMI自营官方旗舰店,ZMI 紫米苹果MFI认证数据线/快充充电器线支持iPhone11Pro/6s/7/7P/8/8P/X/XS/XR/X MAX/ipad/803黑色MFI认证编织线1米黑色
99%,¥59.00,鑫楚天数码专营店,公牛充电器头iPhone11 Pro/XS/XR/8plus/6s/7华为苹果安卓平板充电宝防止过充 自动断电防过充＋送 苹果&安卓三合一线【白色】
98%,¥21.90,领臣自营旗舰店,领臣 苹果数据线手机快充充电器线头iphone11/Xs Max/XR/8/7/6s plus USB电源线 1.5米[快充不弹窗] 1.5米 两条装
97%,¥109.00,绿联自营旗舰店,绿联PD18W苹果快充套装MFi认证Type-C to Lightning数据线USB-C充电器头通用iPhone11/XsMax/XR/8手机iPadProMFi认证-苹果PD快充套装
98%,¥129.00,ZMI自营官方旗舰店,ZMI紫米65W单USB-C口PD快充头/充电器/电源适配器适用于switch/iPhone11/XsMAX/XR/8p等含1.5米C-C5A线套装
99%,¥29.90,倍思（Baseus）自营旗舰店,倍思（Baseus）手机充电头充电器 苹果6s/7/8安卓华为2.4A 3C认证双USB电源适配器 可配合无线充电器 白色
